dataset_name,player_id,match_id,team_id,player_name,player_name_raw,role_name,specific_position,position_status,team_name,n_touches,minute_min,minute_max,match_date
5liga,93,2499802,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,11,70.0,92.0,
5liga,93,2499812,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,67,1.0,92.0,
5liga,93,2499824,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,42,0.0,90.0,
5liga,93,2499832,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,39,4.0,95.0,
5liga,93,2499839,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,69,0.0,81.0,
5liga,93,2499849,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,48,0.0,95.0,
5liga,93,2499864,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,55,0.0,90.0,
5liga,93,2499869,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,64,0.0,90.0,
5liga,93,2499879,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,56,0.0,91.0,
5liga,93,2499891,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,45,0.0,88.0,
5liga,93,2499901,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,44,3.0,90.0,
5liga,93,2499914,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,51,2.0,94.0,
5liga,93,2499922,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,55,1.0,93.0,
